Shop,Item,Date,Whether_holiday,Current_Price,Maximum_price,Total_qty_sold
G,3,6/24/2021,FALSE,23.95,23.95,50
G,3,9/30/2021,FALSE,23.95,23.95,92
G,3,4/13/2022,FALSE,21.95,21.95,40
H,3,5/14/2019,FALSE,21.95,21.95,100
H,3,6/25/2019,FALSE,21.95,21.95,99
H,3,3/11/2021,FALSE,23.95,23.95,80
H,3,3/25/2021,FALSE,23.95,23.95,83
H,3,4/29/2021,FALSE,23.95,23.95,91
H,3,5/20/2021,FALSE,23.95,23.95,100
H,3,5/25/2022,FALSE,21.95,21.95,95
C,1,2/25/2021,FALSE,12.95,10.75,92
C,1,8/3/2022,FALSE,12.95,12.95,99
G,1,8/31/2022,FALSE,12.95,12.95,44
G,3,3/5/2019,FALSE,21.95,21.95,94
G,3,3/26/2019,FALSE,21.95,21.95,60
G,3,10/8/2019,FALSE,21.95,21.95,89
G,3,1/28/2021,FALSE,23.95,23.95,99
G,3,10/7/2021,FALSE,23.95,23.95,72
H,3,12/31/2019,TRUE,21.95,21.95,84
H,3,2/4/2021,FALSE,23.95,23.95,60
H,3,12/2/2021,FALSE,23.95,23.95,74
H,3,10/19/2022,FALSE,21.95,21.95,77
A,3,6/10/2021,FALSE,23.95,23.95,60
C,1,11/18/2021,FALSE,12.95,12.95,54
C,1,1/13/2022,FALSE,12.95,12.95,99
C,1,1/20/2022,FALSE,12.95,12.95,60
C,1,6/8/2022,FALSE,12.95,12.95,78
C,3,9/2/2021,FALSE,23.95,23.95,69
E,1,1/7/2021,FALSE,12.95,12.95,95
E,1,8/19/2021,FALSE,12.95,12.95,56
E,1,8/26/2021,FALSE,12.95,12.95,67
G,1,6/11/2019,FALSE,11.95,11.95,88
G,1,4/20/2022,FALSE,12.95,12.95,100
G,1,6/1/2022,FALSE,12.95,12.95,42
G,3,2/19/2019,FALSE,21.95,21.95,71
G,3,2/4/2021,FALSE,23.95,23.95,71
G,3,4/1/2021,FALSE,23.95,23.95,57
G,3,9/23/2021,FALSE,23.95,23.95,93
G,3,10/21/2021,FALSE,23.95,23.95,59
